symbol,name,mode,core_group,scan_source,market_phase,side,shares,entry_timestamp_utc,exit_timestamp_utc,entry_price,exit_price,exit_reason,confidence,broker_parent_order_id,pnl,outcome
SOFI,SoFi,primary,non_core,SCHEDULED,MORNING,SELL,32.0,2026-03-27T14:50:01.533648+00:00,2026-03-27T14:55:04.844003+00:00,15.41,15.5025,STOP_HIT,91.0,f991d1b3-2b3b-4378-aa3e-facd51adc862,-2.96,LOSS
NIO,NIO,primary,non_core,SCHEDULED,MORNING,SELL,91.0,2026-03-27T14:50:01.533648+00:00,2026-03-27T14:55:05.454020+00:00,5.45,5.48,STOP_HIT,91.0,247f9872-9381-4a9d-a522-834dbe928511,-2.73,LOSS
JOBY,Joby Aviation,primary,non_core,SCHEDULED,MORNING,SELL,60.0,2026-03-27T14:50:01.533648+00:00,2026-03-27T15:10:09.536840+00:00,8.205,8.27,STOP_HIT,89.0,f70e4f92-9011-4638-a1b7-f5dd49bf3319,-3.9,LOSS
BBAI,BigBear.ai,third,non_core,SCHEDULED,MORNING,SELL,155.0,2026-03-27T15:10:00.837675+00:00,2026-03-27T15:20:10.883551+00:00,3.225,3.2,TARGET_HIT,93.0,6ce39db5-82eb-46a2-a657-3f114a9f50f5,3.875,WIN
AMD,AMD,core_one,core,SCHEDULED,MORNING,SELL,2.0,2026-03-27T14:30:01.503294+00:00,2026-03-27T15:25:03.751483+00:00,199.05,200.035,STOP_HIT,101.0,796b8f9a-ff4a-499e-be8e-0805037f6157,-1.97,LOSS
ACHR,Archer Aviation,secondary,non_core,SCHEDULED,MORNING,SELL,96.0,2026-03-27T15:00:01.509428+00:00,2026-03-27T15:25:04.865527+00:00,5.185,5.21,STOP_HIT,98.0,8c5d1096-4c31-4134-a459-d8d9f4cb3434,-2.4,LOSS
QS,QuantumScape,secondary,non_core,SCHEDULED,MORNING,SELL,79.0,2026-03-27T15:00:01.509428+00:00,2026-03-27T15:25:05.485682+00:00,6.31,6.25,TARGET_HIT,97.0,74c3e15b-02ae-439f-8c85-35708a4d4770,4.74,WIN
QBTS,D-Wave Quantum,fourth,non_core,SCHEDULED,MORNING,SELL,35.0,2026-03-27T15:20:01.726319+00:00,2026-03-27T15:25:06.361773+00:00,14.035,14.128,STOP_HIT,70.0,149a850d-eba7-4fe4-8198-657e41425ea0,-3.255,LOSS
GRAB,Grab,secondary,non_core,SCHEDULED,MORNING,SELL,140.0,2026-03-27T14:00:01.569351+00:00,2026-03-27T15:35:03.681152+00:00,3.565,3.6,STOP_HIT,99.0,812a8568-bc0b-4596-af8b-aa6908c2e8e5,-4.9,LOSS
IONQ,IonQ,fourth,non_core,SCHEDULED,MORNING,SELL,17.0,2026-03-27T14:20:00.939825+00:00,2026-03-27T15:35:04.541617+00:00,28.49,28.7,STOP_HIT,70.0,a54b4c5c-f4bc-4550-9fb4-70d1dc3327a7,-3.57,LOSS
RKLB,Rocket Lab,third,non_core,SCHEDULED,MORNING,SELL,8.0,2026-03-27T15:10:00.837675+00:00,2026-03-27T15:35:05.645246+00:00,62.03,62.61,STOP_HIT,70.0,b8d9a0a4-657c-430f-ab38-6dbe3e7247e3,-4.64,LOSS
HIMS,Hims & Hers,primary,non_core,SCHEDULED,MORNING,SELL,25.0,2026-03-27T14:50:01.533648+00:00,2026-03-27T16:15:03.841302+00:00,19.88,19.61,TARGET_HIT,99.0,8fc682a3-1dde-4b4e-adea-21615a3d7693,6.75,WIN
IONQ,IonQ,fourth,non_core,SCHEDULED,MIDDAY,SELL,17.0,2026-03-27T16:20:01.540060+00:00,2026-03-27T16:40:09.585248+00:00,28.5,28.16,TARGET_HIT,70.0,87cb299c-1d4a-448d-990e-3086cb4dd7df,5.78,WIN
QBTS,D-Wave Quantum,fourth,non_core,SCHEDULED,MIDDAY,SELL,35.0,2026-03-27T16:20:01.540060+00:00,2026-03-27T16:45:04.826809+00:00,14.155,13.99,TARGET_HIT,70.0,3974b1ca-9b6b-43f1-9845-4e4944a77af9,5.775,WIN
AVGO,Broadcom,core_two,core,SCHEDULED,MIDDAY,SELL,1.0,2026-03-27T16:40:01.577501+00:00,2026-03-27T16:50:12.466439+00:00,300.685,302.1,STOP_HIT,80.0,7f9d7d6a-96dc-48ab-b8a9-644298d2697b,-1.415,LOSS
HIMS,Hims & Hers,primary,non_core,SCHEDULED,MIDDAY,SELL,25.0,2026-03-27T16:50:01.567138+00:00,2026-03-27T17:00:13.139943+00:00,19.55,19.7456,STOP_HIT,80.0,5eb68ce4-3aff-4f04-a314-6990f7ce964c,-4.89,LOSS
ACHR,Archer Aviation,secondary,non_core,SCHEDULED,MIDDAY,SELL,96.0,2026-03-27T16:00:01.475879+00:00,2026-03-27T17:05:03.634820+00:00,5.2,5.14,TARGET_HIT,70.0,baeddef2-67c6-44e7-9f26-fc0d46587b52,5.76,WIN
MU,Micron,core_two,core,SCHEDULED,MORNING,BUY,1.0,2026-03-27T15:40:01.594074+00:00,2026-03-27T17:20:08.801063+00:00,366.11,362.51,STOP_HIT,80.0,95a06e10-c13c-4abd-aa2a-fe440ef263fc,-3.6,LOSS
AAPL,Apple,core_one,core,SCHEDULED,MORNING,SELL,1.0,2026-03-27T15:30:00.934981+00:00,2026-03-27T17:25:02.889322+00:00,252.63,251.07,TARGET_HIT,100.0,a6da8255-0ea1-41fc-bbaa-ca40b070d150,1.56,WIN
JOBY,Joby Aviation,primary,non_core,SCHEDULED,MORNING,SELL,61.0,2026-03-27T15:50:01.468660+00:00,2026-03-27T17:25:03.525281+00:00,8.19,8.07,TARGET_HIT,80.0,6b26af64-87af-4f8c-9242-4885cbd075e8,7.32,WIN
RIVN,Rivian,primary,non_core,SCHEDULED,MIDDAY,SELL,33.0,2026-03-27T16:50:01.567138+00:00,2026-03-27T17:30:09.925834+00:00,14.96,14.83,TARGET_HIT,83.0,da96a2a8-3a59-47b1-936b-dc104352bb8c,4.29,WIN
NIO,NIO,primary,non_core,SCHEDULED,MIDDAY,SELL,91.0,2026-03-27T16:50:01.567138+00:00,2026-03-27T17:30:10.760576+00:00,5.44,5.38,TARGET_HIT,80.0,c8dba774-d985-4695-9aa8-538a35baa019,5.46,WIN
SOFI,SoFi,primary,non_core,SCHEDULED,MIDDAY,SELL,32.0,2026-03-27T16:50:01.567138+00:00,2026-03-27T17:45:04.269832+00:00,15.4,15.22,TARGET_HIT,90.0,5765e1a8-b241-425d-9dbd-3e18349f7706,5.76,WIN
RKLB,Rocket Lab,third,non_core,SCHEDULED,MIDDAY,SELL,8.0,2026-03-27T16:10:01.496766+00:00,2026-03-27T17:50:12.140065+00:00,61.84,60.71,TARGET_HIT,70.0,a59aa13b-3761-4d5a-9321-af94f2b77368,9.04,WIN
IONQ,IonQ,fourth,non_core,SCHEDULED,MIDDAY,SELL,17.0,2026-03-27T17:20:00.949657+00:00,2026-03-27T18:00:11.431561+00:00,27.94,27.5982,TARGET_HIT,70.0,50e26b83-d4cd-4559-838a-07037ec18cb2,5.8106,WIN
ACHR,Archer Aviation,secondary,non_core,SCHEDULED,AFTERNOON,SELL,98.0,2026-03-27T18:00:01.444904+00:00,2026-03-27T18:05:06.574082+00:00,5.075,5.1,STOP_HIT,70.0,68cb8b64-38b0-42d5-8d03-047bb824fbc8,-2.45,LOSS
AAPL,Apple,core_one,core,SCHEDULED,MIDDAY,SELL,1.0,2026-03-27T17:30:01.600702+00:00,2026-03-27T18:10:10.465028+00:00,250.54,248.98,TARGET_HIT,100.0,f75b0111-a549-42ae-b3f4-1c0462382849,1.56,WIN
AVGO,Broadcom,core_two,core,SCHEDULED,MIDDAY,SELL,1.0,2026-03-27T17:40:00.935799+00:00,2026-03-27T18:15:04.761023+00:00,300.38,301.78,STOP_HIT,80.0,b06a58bc-cf5f-4662-ad0a-8cdbc5a1d41c,-1.4,LOSS
JOBY,Joby Aviation,primary,non_core,SCHEDULED,MIDDAY,SELL,62.0,2026-03-27T17:50:01.546774+00:00,2026-03-27T18:15:06.412605+00:00,8.0,8.06,STOP_HIT,80.0,936c614b-c84f-4278-9f43-38c81f16d3c8,-3.72,LOSS
SOFI,SoFi,primary,non_core,SCHEDULED,MIDDAY,SELL,32.0,2026-03-27T17:50:01.546774+00:00,2026-03-27T18:20:10.849562+00:00,15.21,15.3,STOP_HIT,90.0,8ae3e3bb-e6b8-4a30-a0b0-7fa38279dbc7,-2.88,LOSS
RIVN,Rivian,primary,non_core,SCHEDULED,MIDDAY,SELL,33.0,2026-03-27T17:50:01.546774+00:00,2026-03-27T18:35:04.410073+00:00,14.795,14.86,STOP_HIT,100.0,c9766d1a-c0a2-42ed-b38c-343f98fc0bfe,-2.145,LOSS
BITF,Bitfarms,third,non_core,SCHEDULED,AFTERNOON,SELL,259.0,2026-03-27T18:10:01.348784+00:00,2026-03-27T18:35:05.560769+00:00,1.925,1.95,STOP_HIT,70.0,8a548fcc-503c-4fdf-bac9-2bb0bd566f82,-6.475,LOSS
QBTS,D-Wave Quantum,fourth,non_core,SCHEDULED,MIDDAY,SELL,36.0,2026-03-27T17:20:00.949657+00:00,2026-03-27T18:40:08.836025+00:00,13.87,13.96,STOP_HIT,70.0,6fe01937-3a60-4ae9-be9a-79ffdf49d1e4,-3.24,LOSS
IONQ,IonQ,fourth,non_core,SCHEDULED,AFTERNOON,SELL,18.0,2026-03-27T18:20:01.504748+00:00,2026-03-27T18:40:10.752073+00:00,27.7,27.89,STOP_HIT,70.0,1e4bc33d-9027-4ea1-98ce-79d3b9cf16a8,-3.42,LOSS
RKLB,Rocket Lab,third,non_core,SCHEDULED,AFTERNOON,SELL,8.0,2026-03-27T18:10:01.348784+00:00,2026-03-27T18:45:04.363370+00:00,60.72,61.29,STOP_HIT,70.0,97f9b690-a423-4ebf-8841-a6896720c46a,-4.56,LOSS
NVDA,NVIDIA,core_one,core,SCHEDULED,MIDDAY,SELL,2.0,2026-03-27T16:30:01.612954+00:00,2026-03-27T18:55:03.392037+00:00,168.815,167.47,TARGET_HIT,89.0,dd47e46f-10be-4bf2-ad16-1d2a42389a92,2.69,WIN
NIO,NIO,primary,non_core,SCHEDULED,MIDDAY,SELL,93.0,2026-03-27T17:50:01.546774+00:00,2026-03-27T19:05:04.256722+00:00,5.375,5.32,TARGET_HIT,80.0,3b43534e-99e8-4819-aba8-c62e5a087dd1,5.115,WIN
RIVN,Rivian,primary,non_core,SCHEDULED,POWER_HOUR,SELL,33.0,2026-03-27T19:50:01.520754+00:00,2026-03-27T19:55:07.030386+00:00,14.715,14.78,STOP_HIT,100.0,23b1ea66-5b84-4504-9dc9-e358e3ba1b72,-2.145,LOSS
QBTS,D-Wave Quantum,fourth,non_core,SCHEDULED,AFTERNOON,SELL,36.0,2026-03-27T19:20:01.517793+00:00,2026-03-27T20:00:06.147711+00:00,13.82,13.9,STOP_HIT,70.0,ced1f2a9-0577-4e95-a274-da719b9472dc,-2.88,LOSS
SNAP,Snap,primary,non_core,SCHEDULED,POWER_HOUR,BUY,126.0,2026-03-27T19:50:01.520754+00:00,2026-03-27T20:00:08.148465+00:00,3.955,3.92,STOP_HIT,80.0,e0a967c4-e854-480b-ad32-06f4ba68f8ec,-4.41,LOSS
NIO,NIO,primary,non_core,SCHEDULED,POWER_HOUR,SELL,94.0,2026-03-27T19:50:01.520754+00:00,2026-03-27T20:00:08.726810+00:00,5.3,5.33,STOP_HIT,80.0,a02c1013-ed7f-455f-882e-68d2f7003d89,-2.82,LOSS
