group_name,group_value,scans,scans_with_candidates,scans_with_placements,candidate_scan_rate_pct,placement_scan_rate_pct,total_candidates,total_placed,total_skipped,placement_rate_pct,count
overall,all,37,36,33,97.3,89.19,116,66,50,56.9,
mode,core_one,6,6,6,100.0,100.0,22,13,9,59.09,
mode,core_two,6,6,6,100.0,100.0,21,8,13,38.1,
mode,fourth,6,6,6,100.0,100.0,19,11,8,57.89,
mode,primary,7,6,6,85.71,85.71,27,19,8,70.37,
mode,secondary,6,6,5,100.0,83.33,18,8,10,44.44,
mode,third,6,6,4,100.0,66.67,9,7,2,77.78,
scan_source,SCHEDULED,37,36,33,97.3,89.19,116,66,50,56.9,
market_phase,AFTERNOON,9,9,8,100.0,88.89,28,10,18,35.71,
market_phase,MIDDAY,12,12,10,100.0,83.33,35,22,13,62.86,
market_phase,MORNING,12,12,12,100.0,100.0,38,27,11,71.05,
market_phase,OPENING,1,0,0,0.0,0.0,0,0,0,0.0,
market_phase,POWER_HOUR,3,3,3,100.0,100.0,15,7,8,46.67,
core_group,core,12,12,12,100.0,100.0,43,21,22,48.84,
core_group,non_core,25,24,21,96.0,84.0,73,45,28,61.64,
skip_reason,AAPL:symbol_already_open,,,,,,,,,,2
skip_reason,ACHR:symbol_already_open,,,,,,,,,,1
skip_reason,AI:symbol_already_open,,,,,,,,,,4
skip_reason,AMZN:symbol_already_open,,,,,,,,,,5
skip_reason,AVGO:stop_cooldown_until_2026-03-27T18:45:04.761023+00:00,,,,,,,,,,1
skip_reason,GOOGL:symbol_already_open,,,,,,,,,,1
skip_reason,GRAB:symbol_already_open,,,,,,,,,,1
skip_reason,HIMS:symbol_already_open,,,,,,,,,,3
skip_reason,IONQ:symbol_already_open,,,,,,,,,,1
skip_reason,JOBY:symbol_already_open,,,,,,,,,,2
skip_reason,LCID:alpaca_order_rejected,,,,,,,,,,6
skip_reason,META:max_notional_too_small_for_symbol,,,,,,,,,,6
skip_reason,NIO:symbol_already_open,,,,,,,,,,1
skip_reason,NVDA:symbol_already_open,,,,,,,,,,2
skip_reason,PLTR:symbol_already_open,,,,,,,,,,3
skip_reason,PLUG:alpaca_order_rejected,,,,,,,,,,1
skip_reason,QBTS:symbol_already_open,,,,,,,,,,1
skip_reason,QS:alpaca_order_rejected,,,,,,,,,,1
skip_reason,RIVN:stop_cooldown_until_2026-03-27T19:05:04.410073+00:00,,,,,,,,,,1
skip_reason,RKLB:stop_cooldown_until_2026-03-27T19:15:04.363370+00:00,,,,,,,,,,1
skip_reason,RKLB:symbol_already_open,,,,,,,,,,1
skip_reason,SOFI:stop_cooldown_until_2026-03-27T18:50:10.849562+00:00,,,,,,,,,,1
skip_reason,SOUN:alpaca_order_rejected,,,,,,,,,,2
skip_reason,TSLA:symbol_already_open,,,,,,,,,,2
